epoch,loss,val_loss
0,0.03367995470762253,0.009615990333259106
1,0.0017762468196451664,0.00681311497464776
2,0.001597683527506888,0.007800650782883167
3,0.0014596012188121676,0.006905046291649342
4,0.0014452515169978142,0.009859935380518436
5,0.0014357902109622955,0.004170880187302828
6,0.0018664096714928746,0.006092661526054144
7,0.001326439785771072,0.004808424971997738
8,0.001394167891703546,0.01266308594495058
9,0.0014429664006456733,0.005175326485186815
10,0.0012243903474882245,0.0054206568747758865
11,0.001246767584234476,0.0033253279980272055
12,0.0012623515212908387,0.008192775771021843
13,0.0012111671967431903,0.004384148400276899
14,0.0011628344655036926,0.004968976601958275
15,0.00120523979421705,0.003766501322388649
16,0.0011359733762219548,0.013832573778927326
17,0.002111624227836728,0.0037101954221725464
18,0.0011377123882994056,0.0036557449493557215
19,0.001108728814870119,0.004162106662988663
20,0.0011368016712367535,0.005079024471342564
21,0.001109168864786625,0.0036906711757183075
22,0.001955668441951275,0.0029677054844796658
23,0.0011966113233938813,0.006357131060212851
24,0.0011646675411611795,0.0030957707203924656
