epoch,loss,val_loss
0,0.028308985754847527,0.012324587441980839
1,0.002436036942526698,0.005501198582351208
2,0.002188417362049222,0.003888882929459214
3,0.002397170290350914,0.003850298933684826
4,0.0016052110586315393,0.004237746354192495
5,0.0015644838567823172,0.0032558669336140156
6,0.0016364969778805971,0.00452622352167964
7,0.0013207350857555866,0.0034239869564771652
8,0.0012119269231334329,0.002707309555262327
9,0.001164449262432754,0.004793528933078051
10,0.0011589810019358993,0.004137552343308926
11,0.0010788399958983064,0.004021286033093929
12,0.0013185628922656178,0.0021783034317195415
13,0.0012077933643013239,0.007394546177238226
14,0.0015238310443237424,0.005109838675707579
15,0.0011024393606930971,0.0018998747691512108
16,0.0010166282299906015,0.00799400731921196
17,0.0014495344366878271,0.0016947353724390268
18,0.001045386539772153,0.0018048614729195833
19,0.0012429989874362946,0.002046586712822318
20,0.0009764053393155336,0.004055460914969444
21,0.0010607040021568537,0.005915403366088867
22,0.0011137495748698711,0.0015007653273642063
23,0.0009547798545099795,0.0014954820508137345
24,0.0009086556965485215,0.002816051710397005
