epoch,loss,val_loss
0,0.028272369876503944,0.004276149906218052
1,0.0011485600844025612,0.00422851275652647
2,0.0010379395680502057,0.0040467181243002415
3,0.0010195065988227725,0.0035352627746760845
4,0.0010893988655880094,0.006759665906429291
5,0.0011319775367155671,0.007133117411285639
6,0.0016656554071232677,0.0031466714572161436
7,0.0009096324793063104,0.0037569282576441765
8,0.0009636901668272913,0.004573709797114134
9,0.0010215988149866462,0.0033405886497348547
10,0.0008445914718322456,0.0027244756929576397
11,0.0008780579664744437,0.002501607872545719
12,0.0008292099228128791,0.0025276353117078543
13,0.0007728398195467889,0.002295540180057287
14,0.0007986812270246446,0.0024707966949790716
15,0.001004344318062067,0.007053739856928587
16,0.0009827961912378669,0.008202096447348595
17,0.0014682284090667963,0.003344072960317135
18,0.0008364319219253957,0.002539895474910736
19,0.0007894763839431107,0.0021824047435075045
20,0.0008066085283644497,0.0022137886844575405
21,0.000765365781262517,0.0047819227911531925
22,0.0010080229258164763,0.002262903843075037
23,0.0007311951485462487,0.003989436663687229
24,0.0008450214518234134,0.0020686141215264797
